row_index,split,prompt,expected_answer,base_output,base_mathematical_correct,base_format_correct,base_extended_output,base_extended_mathematical_correct,base_extended_format_correct,seed_13201_output,seed_13201_mathematical_correct,seed_13201_format_correct,seed_13201_route_active,seed_13201_token_identical_to_base,seed_13202_output,seed_13202_mathematical_correct,seed_13202_format_correct,seed_13202_route_active,seed_13202_token_identical_to_base,seed_13203_output,seed_13203_mathematical_correct,seed_13203_format_correct,seed_13203_route_active,seed_13203_token_identical_to_base
106,phase7_audit5_negative,Choose the numerically larger member of 678 and 2.,,"To determine which of the two numbers,",False,False,,,,"To determine which of the two numbers,",False,False,False,True,"To determine which of the two numbers,",False,False,False,True,"To determine which of the two numbers,",False,False,False,True
107,phase7_audit5_negative,State which operator appears between 5 and 5 in a hypothetical subtraction.,,"In the hypothetical subtraction, the operator that",False,False,,,,"In the hypothetical subtraction, the operator that",False,False,False,True,"In the hypothetical subtraction, the operator that",False,False,False,True,"In the hypothetical subtraction, the operator that",False,False,False,True
108,phase7_audit5_negative,"Quote the phrase that 4560 was added to 45, but do not produce a number.",,"""4560 + 4",False,False,,,,"""4560 + 4",False,False,False,True,"""4560 + 4",False,False,False,True,"""4560 + 4",False,False,False,True
109,phase7_audit5_negative,"Despite mentioning addition, compare 506 against 1 and select the first if larger.",,To compare 506 against,False,False,,,,To compare 506 against,False,False,False,True,To compare 506 against,False,False,False,True,To compare 506 against,False,False,False,True
110,phase7_audit5_negative,Test whether 4 divides 9; return true or false.,,To determine whether 4 divides 9,False,False,,,,To determine whether 4 divides 9,False,False,False,True,To determine whether 4 divides 9,False,False,False,True,To determine whether 4 divides 9,False,False,False,True
111,phase7_audit5_negative,Test whether 5560 divides 820; return true or false.,,To determine whether 5560,False,False,,,,To determine whether 5560,False,False,False,True,To determine whether 5560,False,False,False,True,To determine whether 5560,False,False,False,True
112,phase7_audit5_negative,The pending request to total 25 and 5 is on hold; reply only pending.,,Pending.,False,False,,,,Pending.,False,False,False,True,Pending.,False,False,False,True,Pending.,False,False,False,True
113,phase7_audit5_negative,Ignore the proposed sum of 1 and 1203; instead report that it was canceled.,,The proposed sum of 1 and,False,False,,,,The proposed sum of 1 and,False,False,False,True,The proposed sum of 1 and,False,False,False,True,The proposed sum of 1 and,False,False,False,True
114,phase7_audit5_negative,"Proofread the sentence ""the sum of 87 and 182"" without evaluating it.",,The sum of 87 and,False,False,,,,The sum of 87 and,False,False,False,True,The sum of 87 and,False,False,False,True,The sum of 87 and,False,False,False,True
115,phase7_audit5_negative,Multiply the quantities 58 and 3166; emit their product.,,To multiply the quantities 58 and,False,False,,,,To multiply the quantities 58 and,False,False,False,True,To multiply the quantities 58 and,False,False,False,True,To multiply the quantities 58 and,False,False,False,True
116,phase7_audit5_negative,"Return the midpoint between 741 and 799, rather than their total.",,"To find the midpoint between two numbers,",False,False,,,,"To find the midpoint between two numbers,",False,False,False,True,"To find the midpoint between two numbers,",False,False,False,True,"To find the midpoint between two numbers,",False,False,False,True
117,phase7_audit5_negative,Subtract 6 from 748; answer with only the difference.,,6,False,False,,,,6,False,False,False,True,6,False,False,False,True,6,False,False,False,True
118,phase7_audit5_negative,Give the absolute difference separating 583 from 5954.,,The absolute difference separating 583,False,False,,,,The absolute difference separating 583,False,False,False,True,The absolute difference separating 583,False,False,False,True,The absolute difference separating 583,False,False,False,True
119,phase7_audit5_negative,"Quote the phrase that 3234 was added to 9, but do not produce a number.",,"""3234 + 9",False,False,,,,"""3234 + 9",False,False,False,True,"""3234 + 9",False,False,False,True,"""3234 + 9",False,False,False,True
